"","fb","Taxa","plant","ra","z_land","p_land","z_even","p_even","p_land_BH","p_even_BH","target","target_k","target_p","target_c","landscape","target2","plant2","tag_ord","Top"
"75%5134","Fungi","Thermosporothrix","Juglans","perc75",3.43177113184223,0.0002000200020002,-3.81036438984923,0.0001000100010001,0.000538845830891814,0.00168588287400169,"Prok_*Thermosporothrix*","Prokaryote","Prok_Chloroflexi","Prok_Ktedonobacteria","with Δ*H* reduction","Prok_*Thermosporothrix*","*Juglans*","Prok_*Thermosporothrix*",FALSE
"75%586","Fungi","Nevskia","Juglans","perc75",3.25708617683581,0.0006000600060006,-3.21943732983146,0.0026002600260026,0.00149543100005365,0.0229112223081752,"Prok_*Nevskia*","Prokaryote","Prok_Proteobacteria","Prok_Gammaproteobacteria","with Δ*H* reduction","Prok_Others","*Juglans*","Prok_Others",FALSE
"25%831","Prokaryote","Candidatus Solibacter","Betula","perc25",25.3236808172811,1e-04,8.1375647768006,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Candidatus Solibacter*","Prokaryote","Prok_Acidobacteriota","Prok_Acidobacteriae","with Δ*H* increase","Prok_*Candidatus Solibacter*","*Betula*","Prok_*Candidatus Solibacter*",FALSE
"25%6121","Prokaryote","Reyranella","Betula","perc25",23.2372986865206,1e-04,6.10660173112725,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Reyranella*","Prokaryote","Prok_Proteobacteria","Prok_Alphaproteobacteria","with Δ*H* increase","Prok_*Reyranella*","*Betula*","Prok_*Reyranella*",FALSE
"25%3010","Prokaryote","ADurb.Bin063-1","Betula","perc25",10.5771109681011,1e-04,-5.26844788734368,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*ADurb.Bin063-1*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","with Δ*H* reduction","Prok_Others","*Betula*","Prok_Others",FALSE
"25%1081","Prokaryote","Dongia","Betula","perc25",13.9278828354966,1e-04,-4.67723396227031,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Dongia*","Prokaryote","Prok_Proteobacteria","Prok_Alphaproteobacteria","with Δ*H* reduction","Prok_Others","*Betula*","Prok_Others",FALSE
"50%831","Prokaryote","Candidatus Solibacter","Betula","median",26.7098096816973,1e-04,3.93906395698376,0.0004000400040004,0.000278391223310958,0.00544669851600545,"Prok_*Candidatus Solibacter*","Prokaryote","Prok_Acidobacteriota","Prok_Acidobacteriae","with Δ*H* increase","Prok_*Candidatus Solibacter*","*Betula*","Prok_*Candidatus Solibacter*",FALSE
"50%6121","Prokaryote","Reyranella","Betula","median",24.0260432652024,1e-04,3.52418734993137,0.0009000900090009,0.000278391223310958,0.0104570302590105,"Prok_*Reyranella*","Prokaryote","Prok_Proteobacteria","Prok_Alphaproteobacteria","with Δ*H* increase","Prok_*Reyranella*","*Betula*","Prok_*Reyranella*",FALSE
"50%6391","Prokaryote","Subgroup 10","Betula","median",19.5694173654644,1e-04,-7.05878901010054,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Subgroup 10*","Prokaryote","Prok_Acidobacteriota","Prok_Thermoanaerobaculia","with Δ*H* reduction","Prok_Others","*Betula*","Prok_Others",FALSE
"50%1051","Prokaryote","Devosia","Betula","median",10.9433737901507,1e-04,-5.84916767988534,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Devosia*","Prokaryote","Prok_Proteobacteria","Prok_Alphaproteobacteria","with Δ*H* reduction","Prok_Others","*Betula*","Prok_Others",FALSE
"75%1041","Prokaryote","Desulfosporosinus","Betula","perc75",10.5638819494064,1e-04,-7.6063551879522,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Desulfosporosinus*","Prokaryote","Prok_Firmicutes","Prok_Desulfitobacteriia","with Δ*H* reduction","Prok_Others","*Betula*","Prok_Others",FALSE
"75%3010","Prokaryote","ADurb.Bin063-1","Betula","perc75",11.6256632396877,1e-04,-7.16314714167485,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*ADurb.Bin063-1*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","with Δ*H* reduction","Prok_Others","*Betula*","Prok_Others",FALSE
"25%21271","Prokaryote","Pedomicrobium","Pinus","perc25",17.44410929017,1e-04,4.61792330230965,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Pedomicrobium*","Prokaryote","Prok_Proteobacteria","Prok_Alphaproteobacteria","with Δ*H* increase","Prok_*Pedomicrobium*","*Pinus*","Prok_*Pedomicrobium*",FALSE
"25%21661","Prokaryote","Sphaerotilus","Pinus","perc25",11.7385787033368,1e-04,3.96073056848322,0.0001000100010001,0.000278391223310958,0.00168588287400169,"Prok_*Sphaerotilus*","Prokaryote","Prok_Proteobacteria","Prok_Gammaproteobacteria","with Δ*H* increase","Prok_*Sphaerotilus*","*Pinus*","Prok_*Sphaerotilus*",FALSE
"25%11601","Prokaryote","Rhizomicrobium","Pinus","perc25",9.66491616565417,1e-04,-5.92449624103629,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Rhizomicrobium*","Prokaryote","Prok_Proteobacteria","Prok_Alphaproteobacteria","with Δ*H* reduction","Prok_Others","*Pinus*","Prok_Others",FALSE
"25%2710","Prokaryote","Acidothermus","Pinus","perc25",10.0998557290376,1e-04,-4.59235389988126,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Acidothermus*","Prokaryote","Prok_Actinobacteriota","Prok_Actinobacteria","with Δ*H* reduction","Prok_Others","*Pinus*","Prok_Others",FALSE
"50%2511","Prokaryote","Collimonas","Pinus","median",2.96267748741497,0.0022002200220022,3.3646189487245,0.002000200020002,0.00500662311129072,0.0191370488400191,"Prok_*Collimonas*","Prokaryote","Prok_Proteobacteria","Prok_Gammaproteobacteria","with Δ*H* increase","Prok_Others","*Pinus*","Prok_Others",FALSE
"50%2791","Prokaryote","Haliangium","Pinus","median",13.9624648893282,1e-04,2.75283227062388,0.0029002900290029,0.000278391223310958,0.0246524652465246,"Prok_*Haliangium*","Prokaryote","Prok_Myxococcota","Prok_Polyangia","with Δ*H* increase","Prok_*Haliangium*","*Pinus*","Prok_*Haliangium*",FALSE
"50%21011","Prokaryote","Meliniomyces","Pinus","median",13.3504206490311,1e-04,-6.09341069109457,1e-04,0.000278391223310958,0.00168588287400169,"Fng_*Meliniomyces*","Fungi","Fng_Ascomycota","Fng_Leotiomycetes","with Δ*H* reduction","Fng_*Meliniomyces*","*Pinus*","Fng_*Meliniomyces*",FALSE
"50%11601","Prokaryote","Rhizomicrobium","Pinus","median",10.2737304616331,1e-04,-5.84774665526742,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Rhizomicrobium*","Prokaryote","Prok_Proteobacteria","Prok_Alphaproteobacteria","with Δ*H* reduction","Prok_Others","*Pinus*","Prok_Others",FALSE
"75%11601","Prokaryote","Rhizomicrobium","Pinus","perc75",9.10765531583703,1e-04,-6.81125162881275,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Rhizomicrobium*","Prokaryote","Prok_Proteobacteria","Prok_Alphaproteobacteria","with Δ*H* reduction","Prok_Others","*Pinus*","Prok_Others",FALSE
"75%21011","Prokaryote","Meliniomyces","Pinus","perc75",12.8735773210969,1e-04,-6.13524662091063,1e-04,0.000278391223310958,0.00168588287400169,"Fng_*Meliniomyces*","Fungi","Fng_Ascomycota","Fng_Leotiomycetes","with Δ*H* reduction","Fng_*Meliniomyces*","*Pinus*","Fng_*Meliniomyces*",FALSE
"25%3891","Prokaryote","Labrys","Acer","perc25",18.684081171732,1e-04,4.21801159925757,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Labrys*","Prokaryote","Prok_Proteobacteria","Prok_Alphaproteobacteria","with Δ*H* increase","Prok_*Labrys*","*Acer*","Prok_*Labrys*",FALSE
"25%31191","Prokaryote","Pajaroellobacter","Acer","perc25",18.2023029123806,1e-04,2.91482784249134,0.0029002900290029,0.000278391223310958,0.0246524652465246,"Prok_*Pajaroellobacter*","Prokaryote","Prok_Myxococcota","Prok_Polyangia","with Δ*H* increase","Prok_Others","*Acer*","Prok_Others",FALSE
"25%31291","Prokaryote","Pir4 lineage","Acer","perc25",18.0446827483653,1e-04,-5.69329107593591,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Pir4 lineage*","Prokaryote","Prok_Planctomycetota","Prok_Planctomycetes","with Δ*H* reduction","Prok_*Pir4 lineage*","*Acer*","Prok_*Pir4 lineage*",FALSE
"25%3721","Prokaryote","G12-WMSP1","Acer","perc25",9.59687885841267,1e-04,-4.76001788241768,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*G12-WMSP1*","Prokaryote","Prok_Chloroflexi","Prok_Ktedonobacteria","with Δ*H* reduction","Prok_Others","*Acer*","Prok_Others",FALSE
"50%3231","Prokaryote","Bacillus","Acer","median",13.8238946322481,1e-04,3.27898604170644,0.0003000300030003,0.000278391223310958,0.00431957071305217,"Prok_*Bacillus*","Prokaryote","Prok_Firmicutes","Prok_Bacilli","with Δ*H* increase","Prok_Others","*Acer*","Prok_Others",FALSE
"50%3511","Prokaryote","Collimonas","Acer","median",3.68322145912503,0.0007000700070007,3.02957580546758,0.0002000200020002,0.00172468146978364,0.00310237209287939,"Prok_*Collimonas*","Prokaryote","Prok_Proteobacteria","Prok_Gammaproteobacteria","with Δ*H* increase","Prok_Others","*Acer*","Prok_Others",FALSE
"50%3721","Prokaryote","G12-WMSP1","Acer","median",9.24954787184246,1e-04,-4.94107621076511,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*G12-WMSP1*","Prokaryote","Prok_Chloroflexi","Prok_Ktedonobacteria","with Δ*H* reduction","Prok_Others","*Acer*","Prok_Others",FALSE
"50%3761","Prokaryote","Gemmatimonas","Acer","median",17.0087390067458,1e-04,-4.12627432227628,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Gemmatimonas*","Prokaryote","Prok_Gemmatimonadota","Prok_Gemmatimonadetes","with Δ*H* reduction","Prok_*Gemmatimonas*","*Acer*","Prok_*Gemmatimonas*",FALSE
"75%3511","Prokaryote","Collimonas","Acer","perc75",3.36435341966077,0.0009000900090009,2.68372231453644,0.002000200020002,0.00218525884846549,0.0191370488400191,"Prok_*Collimonas*","Prokaryote","Prok_Proteobacteria","Prok_Gammaproteobacteria","with Δ*H* increase","Prok_Others","*Acer*","Prok_Others",FALSE
"75%3801","Prokaryote","HSB OF53-F07","Acer","perc75",12.917168701324,1e-04,-6.34375348638928,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*HSB OF53-F07*","Prokaryote","Prok_Chloroflexi","Prok_Ktedonobacteria","with Δ*H* reduction","Prok_*HSB OF53-F07*","*Acer*","Prok_*HSB OF53-F07*",FALSE
"75%3721","Prokaryote","G12-WMSP1","Acer","perc75",7.91346212450692,1e-04,-6.00511450917622,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*G12-WMSP1*","Prokaryote","Prok_Chloroflexi","Prok_Ktedonobacteria","with Δ*H* reduction","Prok_Others","*Acer*","Prok_Others",FALSE
"25%4721","Prokaryote","Galbitalea","Populus","perc25",12.7126227270725,1e-04,2.61368699669491,0.0029002900290029,0.000278391223310958,0.0246524652465246,"Prok_*Galbitalea*","Prokaryote","Prok_Actinobacteriota","Prok_Actinobacteria","with Δ*H* increase","Prok_Others","*Populus*","Prok_Others",FALSE
"25%41191","Prokaryote","Pedomicrobium","Populus","perc25",23.1152466168729,1e-04,-6.67399940563226,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Pedomicrobium*","Prokaryote","Prok_Proteobacteria","Prok_Alphaproteobacteria","with Δ*H* reduction","Prok_*Pedomicrobium*","*Populus*","Prok_*Pedomicrobium*",FALSE
"25%41251","Prokaryote","Pir4 lineage","Populus","perc25",21.4544091030223,1e-04,-6.61223631170329,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Pir4 lineage*","Prokaryote","Prok_Planctomycetota","Prok_Planctomycetes","with Δ*H* reduction","Prok_*Pir4 lineage*","*Populus*","Prok_*Pir4 lineage*",FALSE
"50%4791","Prokaryote","Hyaloscypha","Populus","median",2.89807459122888,0.0031003100310031,3.17452218542593,0.0006000600060006,0.00679787570891102,0.00761848336732407,"Fng_*Hyaloscypha*","Fungi","Fng_Ascomycota","Fng_Leotiomycetes","with Δ*H* increase","Fng_*Hyaloscypha*","*Populus*","Fng_*Hyaloscypha*",FALSE
"50%41191","Prokaryote","Pedomicrobium","Populus","median",22.8111810980795,1e-04,-7.85708089088523,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Pedomicrobium*","Prokaryote","Prok_Proteobacteria","Prok_Alphaproteobacteria","with Δ*H* reduction","Prok_*Pedomicrobium*","*Populus*","Prok_*Pedomicrobium*",FALSE
"50%41571","Prokaryote","Subgroup 10","Populus","median",14.4108548725416,1e-04,-6.50500784727361,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Subgroup 10*","Prokaryote","Prok_Acidobacteriota","Prok_Thermoanaerobaculia","with Δ*H* reduction","Prok_Others","*Populus*","Prok_Others",FALSE
"75%4791","Prokaryote","Hyaloscypha","Populus","perc75",2.855825352787,0.0044004400440044,2.75493286275388,0.0024002400240024,0.00934569647440935,0.0214950066435215,"Fng_*Hyaloscypha*","Fungi","Fng_Ascomycota","Fng_Leotiomycetes","with Δ*H* increase","Fng_*Hyaloscypha*","*Populus*","Fng_*Hyaloscypha*",FALSE
"75%41191","Prokaryote","Pedomicrobium","Populus","perc75",21.7194774562928,1e-04,-7.9751569598544,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Pedomicrobium*","Prokaryote","Prok_Proteobacteria","Prok_Alphaproteobacteria","with Δ*H* reduction","Prok_*Pedomicrobium*","*Populus*","Prok_*Pedomicrobium*",FALSE
"75%4711","Prokaryote","G12-WMSP1","Populus","perc75",10.4315880943409,1e-04,-5.93671733291473,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*G12-WMSP1*","Prokaryote","Prok_Chloroflexi","Prok_Ktedonobacteria","with Δ*H* reduction","Prok_Others","*Populus*","Prok_Others",FALSE
"25%1541","Prokaryote","Conexibacter","Larix","perc25",19.2972327567432,1e-04,3.09214013436138,0.0016001600160016,0.000278391223310958,0.0163216321632163,"Prok_*Conexibacter*","Prokaryote","Prok_Actinobacteriota","Prok_Thermoleophilia","with Δ*H* increase","Prok_Others","*Larix*","Prok_Others",FALSE
"25%11481","Prokaryote","Pir4 lineage","Larix","perc25",22.2573598047351,1e-04,-7.56006847565919,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Pir4 lineage*","Prokaryote","Prok_Planctomycetota","Prok_Planctomycetes","with Δ*H* reduction","Prok_*Pir4 lineage*","*Larix*","Prok_*Pir4 lineage*",FALSE
"25%1831","Prokaryote","G12-WMSP1","Larix","perc25",9.36595158337684,1e-04,-4.52939508242422,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*G12-WMSP1*","Prokaryote","Prok_Chloroflexi","Prok_Ktedonobacteria","with Δ*H* reduction","Prok_Others","*Larix*","Prok_Others",FALSE
"50%11481","Prokaryote","Pir4 lineage","Larix","median",21.3050626160217,1e-04,-6.75033239805994,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Pir4 lineage*","Prokaryote","Prok_Planctomycetota","Prok_Planctomycetes","with Δ*H* reduction","Prok_*Pir4 lineage*","*Larix*","Prok_*Pir4 lineage*",FALSE
"50%1511","Prokaryote","Clostridium sensu stricto 13","Larix","median",9.11292060288654,1e-04,-5.51909292996477,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Clostridium sensu stricto 13*","Prokaryote","Prok_Firmicutes","Prok_Clostridia","with Δ*H* reduction","Prok_Others","*Larix*","Prok_Others",FALSE
"75%11841","Prokaryote","Streptacidiphilus","Larix","perc75",6.71762707252177,1e-04,2.83233851315662,0.0029002900290029,0.000278391223310958,0.0246524652465246,"Prok_*Streptacidiphilus*","Prokaryote","Prok_Actinobacteriota","Prok_Actinobacteria","with Δ*H* increase","Prok_Others","*Larix*","Prok_Others",FALSE
"75%1831","Prokaryote","G12-WMSP1","Larix","perc75",10.6787800216422,1e-04,-8.88775467810445,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*G12-WMSP1*","Prokaryote","Prok_Chloroflexi","Prok_Ktedonobacteria","with Δ*H* reduction","Prok_Others","*Larix*","Prok_Others",FALSE
"75%11851","Prokaryote","Subgroup 10","Larix","perc75",17.5244605703545,1e-04,-8.00576138589118,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Subgroup 10*","Prokaryote","Prok_Acidobacteriota","Prok_Thermoanaerobaculia","with Δ*H* reduction","Prok_Others","*Larix*","Prok_Others",FALSE
"25%5971","Prokaryote","Pedomicrobium","Juglans","perc25",20.1945288565446,1e-04,-9.00384742417623,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Pedomicrobium*","Prokaryote","Prok_Proteobacteria","Prok_Alphaproteobacteria","with Δ*H* reduction","Prok_*Pedomicrobium*","*Juglans*","Prok_*Pedomicrobium*",FALSE
"25%51371","Prokaryote","Tundrisphaera","Juglans","perc25",14.4492267610562,1e-04,-7.36841395670036,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Tundrisphaera*","Prokaryote","Prok_Planctomycetota","Prok_Planctomycetes","with Δ*H* reduction","Prok_*Tundrisphaera*","*Juglans*","Prok_*Tundrisphaera*",FALSE
"50%5321","Prokaryote","Candidatus Xiphinematobacter","Juglans","median",23.8760323723139,1e-04,-9.1189895164438,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Candidatus Xiphinematobacter*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","with Δ*H* reduction","Prok_*Candidatus Xiphinematobacter*","*Juglans*","Prok_*Candidatus Xiphinematobacter*",FALSE
"50%5951","Prokaryote","Paenibacillus","Juglans","median",19.7374832173731,1e-04,-8.60699100871494,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Paenibacillus*","Prokaryote","Prok_Firmicutes","Prok_Bacilli","with Δ*H* reduction","Prok_Others","*Juglans*","Prok_Others",FALSE
"75%5321","Prokaryote","Candidatus Xiphinematobacter","Juglans","perc75",23.05459443596,1e-04,-9.78026104018577,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Candidatus Xiphinematobacter*","Prokaryote","Prok_Verrucomicrobiota","Prok_Verrucomicrobiae","with Δ*H* reduction","Prok_*Candidatus Xiphinematobacter*","*Juglans*","Prok_*Candidatus Xiphinematobacter*",FALSE
"75%5301","Prokaryote","Candidatus Solibacter","Juglans","perc75",28.467889136429,1e-04,-7.74480007971479,1e-04,0.000278391223310958,0.00168588287400169,"Prok_*Candidatus Solibacter*","Prokaryote","Prok_Acidobacteriota","Prok_Acidobacteriae","with Δ*H* reduction","Prok_*Candidatus Solibacter*","*Juglans*","Prok_*Candidatus Solibacter*",FALSE
